date,titleSlug,questionFrontendId,title,difficulty,acRate
2022-07-29,flatten-2d-vector,251,Flatten 2D Vector,Medium,49.6
2022-08-01,find-leaves-of-binary-tree,366,Find Leaves of Binary Tree,Medium,80.6
2022-08-08,binary-tree-vertical-order-traversal,314,Binary Tree Vertical Order Traversal,Medium,54.8
2022-08-15,dot-product-of-two-sparse-vectors,1570,Dot Product of Two Sparse Vectors,Medium,89.8
2022-08-22,binary-tree-longest-consecutive-sequence-ii,549,Binary Tree Longest Consecutive Sequence II,Medium,49.5
2022-08-29,the-maze-ii,505,The Maze II,Medium,53.5
2022-09-01,binary-tree-longest-consecutive-sequence,298,Binary Tree Longest Consecutive Sequence,Medium,53.6
2022-09-08,design-hit-counter,362,Design Hit Counter,Medium,68.7
2022-09-15,longest-substring-with-at-most-two-distinct-characters,159,Longest Substring with At Most Two Distinct Characters,Medium,55.5
2022-09-22,remove-interval,1272,Remove Interval,Medium,66.1
2022-09-29,kill-process,582,Kill Process,Medium,69.5
2022-10-01,lonely-pixel-i,531,Lonely Pixel I,Medium,62.3
2022-10-08,max-stack,716,Max Stack,Hard,45.1
2022-10-15,similar-rgb-color,800,Similar RGB Color,Easy,67.4
2022-10-22,best-meeting-point,296,Best Meeting Point,Hard,61.0
2022-10-29,max-consecutive-ones-ii,487,Max Consecutive Ones II,Medium,50.4
2022-11-01,find-smallest-common-element-in-all-rows,1198,Find Smallest Common Element in All Rows,Medium,76.5
2022-11-08,nested-list-weight-sum,339,Nested List Weight Sum,Medium,83.9
2022-11-15,two-sum-less-than-k,1099,Two Sum Less Than K,Easy,61.8
2022-11-22,strobogrammatic-number,246,Strobogrammatic Number,Easy,47.7
2022-11-29,valid-palindrome-iii,1216,Valid Palindrome III,Hard,49.4
2022-12-01,single-row-keyboard,1165,Single-Row Keyboard,Easy,87.5
2022-12-08,number-of-connected-components-in-an-undirected-graph,323,Number of Connected Components in an Undirected Graph,Medium,63.0
2022-12-15,campus-bikes-ii,1066,Campus Bikes II,Medium,55.2
2022-12-22,minimum-cost-to-connect-sticks,1167,Minimum Cost to Connect Sticks,Medium,70.1
2022-12-29,leftmost-column-with-at-least-a-one,1428,Leftmost Column with at Least a One,Medium,54.5
2023-01-01,confusing-number,1056,Confusing Number,Easy,48.8
2023-01-08,minimum-health-to-beat-game,2214,Minimum Health to Beat Game,Medium,57.7
2023-01-15,find-the-index-of-the-large-integer,1533,Find the Index of the Large Integer,Medium,56.1
2023-01-22,confusing-number-ii,1088,Confusing Number II,Hard,47.2
2023-01-29,game-of-nim,1908,Game of Nim,Medium,63.1
2023-02-01,sentence-similarity,734,Sentence Similarity,Easy,44.4
2023-02-08,wiggle-sort,280,Wiggle Sort,Medium,67.7
2023-02-15,number-of-islands-ii,305,Number of Islands II,Hard,39.9
2023-02-22,handshakes-that-dont-cross,1259,Handshakes That Don't Cross,Hard,59.6
2023-03-01,valid-word-square,422,Valid Word Square,Easy,41.3
2023-03-08,shortest-way-to-form-string,1055,Shortest Way to Form String,Medium,60.3
2023-03-15,clone-binary-tree-with-random-pointer,1485,Clone Binary Tree With Random Pointer,Medium,80.6
2023-03-22,web-crawler,1236,Web Crawler,Medium,67.9
2023-03-29,4-keys-keyboard,651,4 Keys Keyboard,Medium,55.9
2023-04-01,shortest-word-distance-iii,245,Shortest Word Distance III,Medium,58.5
2023-04-08,find-anagram-mappings,760,Find Anagram Mappings,Easy,83.7
2023-04-15,the-most-similar-path-in-a-graph,1548,The Most Similar Path in a Graph,Hard,59.2
2023-04-22,minimum-window-subsequence,727,Minimum Window Subsequence,Hard,43.5
2023-04-29,guess-the-majority-in-a-hidden-array,1538,Guess the Majority in a Hidden Array,Medium,69.8
2023-05-01,index-pairs-of-a-string,1065,Index Pairs of a String,Easy,67.5
2023-05-08,sparse-matrix-multiplication,311,Sparse Matrix Multiplication,Medium,68.2
2023-05-15,paint-house-ii,265,Paint House II,Hard,54.9
2023-05-22,meeting-rooms-ii,253,Meeting Rooms II,Medium,51.4
2023-05-29,design-tic-tac-toe,348,Design Tic-Tac-Toe,Medium,58.1
2023-06-01,toss-strange-coins,1230,Toss Strange Coins,Medium,56.2
2023-06-08,check-if-a-number-is-majority-element-in-a-sorted-array,1150,Check If a Number Is Majority Element in a Sorted Array,Easy,58.9
2023-06-15,missing-ranges,163,Missing Ranges,Easy,34.0
2023-06-22,two-sum-bsts,1214,Two Sum BSTs,Medium,67.2
2023-06-29,count-univalue-subtrees,250,Count Univalue Subtrees,Medium,56.5
2023-07-01,optimal-account-balancing,465,Optimal Account Balancing,Hard,49.6
2023-07-08,longest-substring-with-at-most-k-distinct-characters,340,Longest Substring with At Most K Distinct Characters,Medium,48.9
2023-07-15,lowest-common-ancestor-of-a-binary-tree-ii,1644,Lowest Common Ancestor of a Binary Tree II,Medium,64.6
2023-07-22,ternary-expression-parser,439,Ternary Expression Parser,Medium,61.0
2023-07-29,missing-element-in-sorted-array,1060,Missing Element in Sorted Array,Medium,57.2
2023-08-01,minimum-costs-using-the-train-line,2361,Minimum Costs Using the Train Line,Hard,78.8
2023-08-08,encode-and-decode-strings,271,Encode and Decode Strings,Medium,47.1
2023-08-15,the-maze,490,The Maze,Medium,58.2
2023-08-22,candy-crush,723,Candy Crush,Medium,76.9
2023-08-29,maximum-number-of-ones,1183,Maximum Number of Ones,Hard,68.0
2023-09-01,minimum-time-to-build-blocks,1199,Minimum Time to Build Blocks,Hard,45.8
2023-09-08,rearrange-string-k-distance-apart,358,Rearrange String k Distance Apart,Hard,38.9
2023-09-15,parallel-courses,1136,Parallel Courses,Medium,61.4
2023-09-22,number-of-valid-subarrays,1063,Number of Valid Subarrays,Hard,79.1
2023-09-29,count-strictly-increasing-subarrays,2393,Count Strictly Increasing Subarrays,Medium,74.9
2023-10-01,implement-trie-ii-prefix-tree,1804,Implement Trie II (Prefix Tree),Medium,61.4
2023-10-08,the-maze-ii,505,The Maze II,Medium,53.5
2023-10-15,maximum-number-of-books-you-can-take,2355,Maximum Number of Books You Can Take,Hard,40.5
2023-10-22,correct-a-binary-tree,1660,Correct a Binary Tree,Medium,74.4
2023-10-29,minimum-knight-moves,1197,Minimum Knight Moves,Medium,40.6
2023-11-01,campus-bikes,1057,Campus Bikes,Medium,58.6
2023-11-08,squirrel-simulation,573,Squirrel Simulation,Medium,57.2
2023-11-15,moving-average-from-data-stream,346,Moving Average from Data Stream,Easy,78.6
2023-11-22,maximum-distance-in-arrays,624,Maximum Distance in Arrays,Medium,42.4
2023-11-29,max-consecutive-ones-ii,487,Max Consecutive Ones II,Medium,50.4
2023-12-01,two-sum-less-than-k,1099,Two Sum Less Than K,Easy,61.8
2023-12-08,maximum-average-subtree,1120,Maximum Average Subtree,Medium,66.6
2023-12-15,best-meeting-point,296,Best Meeting Point,Hard,61.0
2023-12-22,longest-substring-with-at-most-two-distinct-characters,159,Longest Substring with At Most Two Distinct Characters,Medium,55.5
2023-12-29,valid-palindrome-iii,1216,Valid Palindrome III,Hard,49.4
2024-01-01,campus-bikes-ii,1066,Campus Bikes II,Medium,55.2
2024-01-08,leftmost-column-with-at-least-a-one,1428,Leftmost Column with at Least a One,Medium,54.5
2024-01-15,single-row-keyboard,1165,Single-Row Keyboard,Easy,87.5
2024-01-22,minimum-cost-to-connect-sticks,1167,Minimum Cost to Connect Sticks,Medium,70.1
2024-01-29,paint-house,256,Paint House,Medium,62.7
2024-02-01,flip-game,293,Flip Game,Easy,64.6
2024-02-08,paint-fence,276,Paint Fence,Medium,46.8
2024-02-15,remove-interval,1272,Remove Interval,Medium,66.1
