date,titleSlug,questionFrontendId,title,difficulty,acRate
2020-11-13,populating-next-right-pointers-in-each-node,116,Populating Next Right Pointers in Each Node,Medium,63.2
2020-11-14,poor-pigs,458,Poor Pigs,Hard,59.6
2020-11-15,range-sum-of-bst,938,Range Sum of BST,Easy,86.9
2020-11-16,longest-mountain-in-array,845,Longest Mountain in Array,Medium,40.5
2020-11-17,mirror-reflection,858,Mirror Reflection,Medium,62.5
2020-11-18,merge-intervals,56,Merge Intervals,Medium,47.6
2020-11-19,decode-string,394,Decode String,Medium,59.4
2020-11-20,search-in-rotated-sorted-array-ii,81,Search in Rotated Sorted Array II,Medium,37.9
2020-11-21,numbers-at-most-n-given-digit-set,902,Numbers At Most N Given Digit Set,Hard,42.5
2020-11-22,unique-morse-code-words,804,Unique Morse Code Words,Easy,82.9
2020-11-23,house-robber-iii,337,House Robber III,Medium,54.3
2020-11-24,basic-calculator-ii,227,Basic Calculator II,Medium,43.9
2020-11-25,smallest-integer-divisible-by-k,1015,Smallest Integer Divisible by K,Medium,46.6
2020-11-26,longest-substring-with-at-least-k-repeating-characters,395,Longest Substring with At Least K Repeating Characters,Medium,45.0
2020-11-27,partition-equal-subset-sum,416,Partition Equal Subset Sum,Medium,46.5
2020-11-28,sliding-window-maximum,239,Sliding Window Maximum,Hard,46.7
2020-11-29,jump-game-iii,1306,Jump Game III,Medium,65.0
2020-11-30,the-skyline-problem,218,The Skyline Problem,Hard,42.9
2020-12-01,maximum-depth-of-binary-tree,104,Maximum Depth of Binary Tree,Easy,75.7
2020-12-02,linked-list-random-node,382,Linked List Random Node,Medium,63.3
2020-12-03,increasing-order-search-tree,897,Increasing Order Search Tree,Easy,78.3
2020-12-04,the-kth-factor-of-n,1492,The kth Factor of n,Medium,67.9
2020-12-05,can-place-flowers,605,Can Place Flowers,Easy,29.1
2020-12-06,populating-next-right-pointers-in-each-node-ii,117,Populating Next Right Pointers in Each Node II,Medium,53.0
2020-12-07,spiral-matrix-ii,59,Spiral Matrix II,Medium,71.5
2020-12-08,pairs-of-songs-with-total-durations-divisible-by-60,1010,Pairs of Songs With Total Durations Divisible by 60,Medium,53.0
2020-12-09,binary-search-tree-iterator,173,Binary Search Tree Iterator,Medium,72.5
2020-12-10,valid-mountain-array,941,Valid Mountain Array,Easy,33.5
2020-12-11,remove-duplicates-from-sorted-array-ii,80,Remove Duplicates from Sorted Array II,Medium,59.2
2020-12-12,smallest-subtree-with-all-the-deepest-nodes,865,Smallest Subtree with all the Deepest Nodes,Medium,70.8
2020-12-13,burst-balloons,312,Burst Balloons,Hard,59.2
2020-12-14,palindrome-partitioning,131,Palindrome Partitioning,Medium,69.7
2020-12-15,squares-of-a-sorted-array,977,Squares of a Sorted Array,Easy,72.9
2020-12-16,validate-binary-search-tree,98,Validate Binary Search Tree,Medium,33.1
2020-12-17,4sum-ii,454,4Sum II,Medium,57.3
2020-12-18,increasing-triplet-subsequence,334,Increasing Triplet Subsequence,Medium,39.6
2020-12-19,cherry-pickup-ii,1463,Cherry Pickup II,Hard,71.9
2020-12-20,decoded-string-at-index,880,Decoded String at Index,Medium,36.5
2020-12-21,smallest-range-ii,910,Smallest Range II,Medium,36.3
2020-12-22,balanced-binary-tree,110,Balanced Binary Tree,Easy,52.7
2020-12-23,next-greater-element-iii,556,Next Greater Element III,Medium,34.1
2020-12-24,swap-nodes-in-pairs,24,Swap Nodes in Pairs,Medium,64.8
2020-12-25,diagonal-traverse,498,Diagonal Traverse,Medium,60.6
2020-12-26,decode-ways,91,Decode Ways,Medium,35.1
2020-12-27,jump-game-iv,1345,Jump Game IV,Hard,46.2
2020-12-28,reach-a-number,754,Reach a Number,Medium,43.2
2020-12-29,pseudo-palindromic-paths-in-a-binary-tree,1457,Pseudo-Palindromic Paths in a Binary Tree,Medium,68.4
2020-12-30,game-of-life,289,Game of Life,Medium,69.5
2020-12-31,largest-rectangle-in-histogram,84,Largest Rectangle in Histogram,Hard,44.9
2021-01-01,check-array-formation-through-concatenation,1640,Check Array Formation Through Concatenation,Easy,56.6
2021-01-02,find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Easy,85.8
2021-01-03,beautiful-arrangement,526,Beautiful Arrangement,Medium,64.3
2021-01-04,merge-two-sorted-lists,21,Merge Two Sorted Lists,Easy,64.7
2021-01-05,remove-duplicates-from-sorted-list-ii,82,Remove Duplicates from Sorted List II,Medium,47.8
2021-01-06,kth-missing-positive-number,1539,Kth Missing Positive Number,Easy,60.3
2021-01-07,longest-substring-without-repeating-characters,3,Longest Substring Without Repeating Characters,Medium,35.1
2021-01-08,check-if-two-string-arrays-are-equivalent,1662,Check If Two String Arrays are Equivalent,Easy,85.5
2021-01-09,word-ladder,127,Word Ladder,Hard,39.7
2021-01-10,create-sorted-array-through-instructions,1649,Create Sorted Array through Instructions,Hard,39.0
2021-01-11,merge-sorted-array,88,Merge Sorted Array,Easy,50.2
2021-01-12,add-two-numbers,2,Add Two Numbers,Medium,43.4
2021-01-13,boats-to-save-people,881,Boats to Save People,Medium,59.4
2021-01-14,minimum-operations-to-reduce-x-to-zero,1658,Minimum Operations to Reduce X to Zero,Medium,39.7
2021-01-15,get-maximum-in-generated-array,1646,Get Maximum in Generated Array,Easy,50.5
2021-01-16,kth-largest-element-in-an-array,215,Kth Largest Element in an Array,Medium,66.9
2021-01-17,count-sorted-vowel-strings,1641,Count Sorted Vowel Strings,Medium,78.5
2021-01-18,max-number-of-k-sum-pairs,1679,Max Number of K-Sum Pairs,Medium,55.1
